Secretaria_de_Atencao_Primaria_a_Saude_-_SAPS/MS_,Unnamed:_1,Unnamed:_2,Unnamed:_3,Unnamed:_4,Unnamed:_5,Unnamed:_6,Unnamed:_7,Unnamed:_8,Unnamed:_9
4,25,3129,2841,22830,1,24841,3,0,1500
2,13,264,4017,19885,1,1929,3,0,991
0,12,3962,2450,11829,1,20840,3,0,815
1,1,1589,2042,1211,1,10477,3,0,551
5,17,3275,714,19591,1,18595,3,0,1215
4,10,2740,3856,3782,1,29367,3,0,597
4,18,2799,374,4539,1,16149,3,0,915
4,10,2445,1955,18252,1,14670,3,0,960
1,9,483,1488,15494,1,29945,3,0,59
1,4,1963,2358,14525,1,12544,3,0,1093
1,15,1470,2502,19832,1,9255,3,0,0
1,5,994,3746,16055,1,6427,3,0,1482
2,2,83,1653,1465,1,433,3,0,562
4,25,3202,3638,1617,1,25279,3,0,626
0,6,4217,524,23096,1,22214,3,0,1306
2,13,139,79,5564,1,938,3,0,1078
4,25,3130,2844,1687,1,17873,3,0,1623
0,11,3847,399,6556,1,20145,3,0,1142
5,23,3478,2275,16821,1,19208,3,0,2
1,15,1401,700,11567,1,8626,3,0,533
4,10,2480,2189,704,1,14784,3,0,835
4,25,2928,873,2141,1,30079,3,0,595
5,22,3805,3762,20896,1,20037,3,0,379
4,25,2882,264,2240,1,16878,3,0,1022
1,15,1539,3951,17416,1,31795,3,0,919
1,16,791,3506,5100,1,32156,3,0,781
4,10,2297,1131,3121,1,13996,3,0,1491
1,5,887,1421,12874,1,5435,3,0,537
1,16,765,2746,8082,1,4397,3,0,1139
2,13,148,347,15815,1,1085,3,0,577
0,6,4217,524,117,1,26489,3,0,535
4,18,2823,2375,141,1,30988,3,0,639
4,10,2537,2640,2933,1,15021,3,0,1634
5,23,3502,3071,7550,1,19261,3,0,815
2,26,329,1474,9984,1,2179,3,0,998
2,13,176,1184,18496,1,1368,3,0,1074
1,1,1554,600,19356,1,10245,3,0,587
1,15,1482,2680,15151,1,9411,3,0,1383
0,6,4217,524,94,1,21794,3,0,577
4,25,2916,669,1569,1,17055,3,0,1510
1,15,1488,2939,11611,1,9454,3,0,1039
1,9,462,1074,8288,1,2825,3,0,1079
4,10,2602,3033,3360,1,15305,3,0,25
4,10,2273,1090,3081,1,29960,3,0,1594
